fecha,Hs_m,Ts_s,Tp_s,Dir_deg,T_agua,Hmax_m,hora_utc_usada,Q_m3s,hora_usada
2025-11-13,2.38,8.6,9.1,222.6,12.52,3.96,13,25.042,10:00
2025-11-28,1.08,11.1,12.5,250.6,16.18,1.59,13,57.669,10:00
2025-12-05,2.35,11.2,13.3,217.8,14.71,3.32,13,45.176,10:00
2025-12-13,1.25,10.0,11.1,221.3,17.28,1.94,13,31.466,10:00
2025-12-23,1.17,6.3,5.4,224.0,13.68,1.91,13,21.072,10:00
2025-12-25,2.21,8.1,8.3,218.6,12.32,3.28,13,16.596,10:00
2025-12-28,1.96,8.8,11.1,214.6,12.85,2.75,13,18.993,10:00
2026-01-07,1.27,9.3,12.5,231.7,16.55,2.13,13,31.466,10:00
2026-01-17,2.46,9.1,9.5,216.5,14.44,3.74,13,15.239,10:00
2026-01-22,1.45,10.3,13.3,234.7,16.25,2.61,13,25.628,10:00
2026-01-27,1.69,11.6,12.5,222.1,16.98,2.42,13,40.3,10:00
